search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22fast+switching%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6370050-B1,Isolated and soft-switched power converter ,"Ut-Batelle, Llc","Fang Zheng Peng, Donald Joe Adams",1999-09-20,1999-09-20,2002-04-09,2002-04-09,https://patents.google.com/patent/US6370050B1/en,https://patentimages.storage.googleapis.com/b4/66/20/c3f1a228eb5742/US6370050-drawings-page-2.png
US-7733464-B2,Vehicle mounted night vision imaging system and method ,Elbit Systems Ltd.,"Ofer David, Yehuda Borenstein",2002-08-05,2003-08-05,2010-06-08,2010-06-08,https://patents.google.com/patent/US7733464B2/en,https://patentimages.storage.googleapis.com/78/94/d0/6acdabdcf3e38e/US07733464-20100608-D00000.png
US-6501354-B1,"Microelectromechanical liquid metal current carrying system, apparatus and method ","Interscience, Inc.","Adolfo O. Gutierrez, Steven C. Aceto, James T. Woo, Christopher Cormeau",1999-05-21,2002-03-06,2002-12-31,2002-12-31,https://patents.google.com/patent/US6501354B1/en,https://patentimages.storage.googleapis.com/8d/07/ea/7b2ed680a3a732/US06501354-20021231-D00000.png
US-4891686-A,Semiconductor packaging with ground plane conductor arrangement ,"Directed Energy, Inc.","George J. Krausse, III",1988-04-08,1988-04-08,1990-01-02,1990-01-02,https://patents.google.com/patent/US4891686A/en,https://patentimages.storage.googleapis.com/31/14/7f/ad7a1e7cd0abf7/US4891686-drawings-page-2.png
US-6885807-B2,High speed fiber-optic attenuation modules ,"Nuonics, Inc.",Nabeel Agha Riza,2001-03-14,2002-03-14,2005-04-26,2005-04-26,https://patents.google.com/patent/US6885807B2/en,https://patentimages.storage.googleapis.com/8b/62/15/cf26b7afe7858a/US06885807-20050426-D00000.png
US-6101104-A,Predictive threshold synchronous rectifier control ,Hughes Electronics Corporation,John E. Eng,1998-06-04,1998-06-04,2000-08-08,2000-08-08,https://patents.google.com/patent/US6101104A/en,https://patentimages.storage.googleapis.com/ba/71/9f/9e4c594b58c503/US6101104-drawings-page-2.png
US-3614590-A,Programmed waveform static inverter for digitally generating ac waveforms comprised of a pattern of equal width voltage pulses ,Westinghouse Electric Corp,Andress Kernick,1969-05-19,1969-05-19,1971-10-19,1971-10-19,https://patents.google.com/patent/US3614590A/en,https://patentimages.storage.googleapis.com/5d/be/90/c7348b1d2036ec/US3614590-drawings-page-2.png
US-5212408-A,Ultra fast pin diode switch ,Ael Defense Corp.,Baruch Even-Or,1992-02-06,1992-02-06,1993-05-18,1993-05-18,https://patents.google.com/patent/US5212408A/en,https://patentimages.storage.googleapis.com/4f/97/0a/c9aa4f57ee2b65/US5212408-drawings-page-2.png
US-4442414-A,Magneto-optical phase-modulating devices ,British Aerospace Public Limited Company,Walter S. Carter,1980-04-29,1981-04-17,1984-04-10,1984-04-10,https://patents.google.com/patent/US4442414A/en,https://patentimages.storage.googleapis.com/c3/24/6b/30b48c13d8ed98/US4442414-drawings-page-2.png
US-5786975-A,Electronic switching circuits ,British Aerospace Plc,"Peter H. Duncan, Glenn R. Randall",1992-03-21,1993-03-19,1998-07-28,1998-07-28,https://patents.google.com/patent/US5786975A/en,https://patentimages.storage.googleapis.com/88/e3/8a/e5aa35edfafd58/US5786975-drawings-page-2.png
US-3391611-A,Hydraeric control system ,Bell Aerospace Corp,Gavin D Jenney,1965-08-23,1965-08-23,1968-07-09,1968-07-09,https://patents.google.com/patent/US3391611A/en,https://patentimages.storage.googleapis.com/00/1e/b5/aa386dc0c0f6fa/US3391611-drawings-page-1.png
US-4912420-A,Comparator circuits ,British Aerospace Public Limited Company,Richard J. Parnell,1987-07-09,1988-07-08,1990-03-27,1990-03-27,https://patents.google.com/patent/US4912420A/en,https://patentimages.storage.googleapis.com/eb/c5/0e/c4a5bba4a0ff6d/US4912420-drawings-page-2.png
US-7312412-B2,High power liquid dielectric switch ,"Alpha-Omega Power Technologies, The Curators Of The University Of Missouri, The Boeing Company","William Ray Cravey, Randy D. Curry, Kenneth Fox McDonald, Glenn A. Anderson",2003-06-17,2004-06-17,2007-12-25,2007-12-25,https://patents.google.com/patent/US7312412B2/en,https://patentimages.storage.googleapis.com/fc/74/2a/30e59e7ff66a1c/US07312412-20071225-D00000.png
US-3263120-A,Solid state display panel having delay line control of panel elements ,Kaiser Aerospace & Electronics,Aiken William Ross,1962-11-13,1962-11-13,1966-07-26,1966-07-26,https://patents.google.com/patent/US3263120A/en,https://patentimages.storage.googleapis.com/9d/98/ef/7c37d2e0b70fd6/US3263120-drawings-page-1.png
US-3771220-A,Method of making a plated wire array ,Goodyear Aerospace Corp,"J Shannon, A Apicella, J Franks",1972-05-05,1972-05-05,1973-11-13,1973-11-13,https://patents.google.com/patent/US3771220A/en,https://patentimages.storage.googleapis.com/09/cd/cf/2fc46a6b9f925a/US3771220-drawings-page-2.png
US-11728808-B1,Intelligent multi-level voltage gate driving system for semiconductor power devices ,"H. Alan Mantooth, Shuang Zhao, Audrey Dearien","H. Alan Mantooth, Shuang Zhao, Audrey Dearien",2019-05-15,2022-01-31,2023-08-15,2023-08-15,https://patents.google.com/patent/US11728808B1/en,https://patentimages.storage.googleapis.com/08/00/a2/e0752e2274ce38/US11728808-20230815-D00000.png
US-5092748-A,Fuel metering pump system ,Ketema Aerospace & Electronics Division,II Robert L. Simmons,1990-09-06,1990-09-06,1992-03-03,1992-03-03,https://patents.google.com/patent/US5092748A/en,https://patentimages.storage.googleapis.com/55/8e/ce/0ce20f0373f0ae/US5092748-drawings-page-2.png
US-5313363-A,Low impedance interconnection assembly for high frequency switching power semiconductor devices and low inductance modular capacitor ,"Eml Research, Inc.",Zeljko Arbanas,1993-07-28,1993-07-28,1994-05-17,1994-05-17,https://patents.google.com/patent/US5313363A/en,https://patentimages.storage.googleapis.com/1b/04/db/4d515dcb65fbc3/US5313363-drawings-page-2.png
US-5388028-A,Low impedance interconnection assembly for high frequency switching power semiconductor devices and low inductance modular capacitor ,Kaman Electromagnetics Corporation,Zeljko Arbanas,1993-07-28,1994-02-22,1995-02-07,1995-02-07,https://patents.google.com/patent/US5388028A/en,https://patentimages.storage.googleapis.com/80/7d/8d/91dc1851f50a1d/US5388028-drawings-page-2.png
US-5485301-A,Optical communications ,British Aerospace Plc,Lee D. Miller,1992-10-24,1993-09-24,1996-01-16,1996-01-16,https://patents.google.com/patent/US5485301A/en,https://patentimages.storage.googleapis.com/c2/75/41/1575a9f4cbc16e/US5485301-drawings-page-2.png
