search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22power+semiconductor%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9912279-B2,Circuit with current sharing alternately switched parallel transistors ,Hamilton Sundstrand Corporation,Huazhen Chai,2015-07-27,2015-07-27,2018-03-06,2018-03-06,https://patents.google.com/patent/US9912279B2/en,https://patentimages.storage.googleapis.com/1f/f5/9c/aa1ba07b314c5d/US09912279-20180306-D00000.png
US-10590319-B2,"High performance, thermally conductive surface mount (die attach) adhesives ",Namics Corporation,"Cathy Shaw Trumble, Maciej Patelka, Noriyuki Sakai, Nicholas C. KRASCO",2015-08-03,2016-07-15,2020-03-17,2020-03-17,https://patents.google.com/patent/US10590319B2/en,https://patentimages.storage.googleapis.com/e4/03/e7/5d92315bf3afa0/US10590319-20200317-D00001.png
US-10211328-B2,Normally-off cubic phase GaN (c-GaN) HEMT having a gate electrode dielectrically insulated from a c-AlGaN capping layer ,Board Of Trustees Of The University Of Illinois,"Can Bayram, Ryan William Grady, Kihoon Park",2016-09-20,2017-09-13,2019-02-19,2019-02-19,https://patents.google.com/patent/US10211328B2/en,https://patentimages.storage.googleapis.com/30/b9/b7/065c2637245796/US10211328-20190219-D00000.png
US-11245268-B1,Mode-based disabling of communiction bus of a battery management system ,"Inventus Power, Inc.","Patrick James Trippel, William Tenorio, Ilyas Ayub, Tom Nguyen",2020-07-24,2021-09-03,2022-02-08,2022-02-08,https://patents.google.com/patent/US11245268B1/en,https://patentimages.storage.googleapis.com/c4/f5/d6/2937a3393900ad/US11245268-20220208-D00000.png
US-10594201-B2,Gate driver ,Hamilton Sundstrand Corporation,"Fabien DUBOIS, Vladimir Blasko, Thomas Gietzold, Virgilio Valdivia Guerrero, Filip HORMOT",2018-01-19,2018-10-19,2020-03-17,2020-03-17,https://patents.google.com/patent/US10594201B2/en,https://patentimages.storage.googleapis.com/22/74/cb/87094df92e48ee/US10594201-20200317-D00000.png
US-8439523-B2,Laser energy source device ,Martin A. Stuart,Martin A. Stuart,2007-10-25,2012-05-23,2013-05-14,2013-05-14,https://patents.google.com/patent/US8439523B2/en,https://patentimages.storage.googleapis.com/ad/03/61/6e2e9c5baa4ea2/US08439523-20130514-D00000.png
US-10058951-B2,Alloy formation control of transient liquid phase bonding ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Sang Won Yoon, Koji Shiozaki",2012-04-17,2012-04-17,2018-08-28,2018-08-28,https://patents.google.com/patent/US10058951B2/en,https://patentimages.storage.googleapis.com/f8/08/18/c75ccbba16c2e5/US10058951-20180828-D00000.png
US-11158708-B1,Graphene channel silicon carbide power semiconductor transistor ,Southeast University,"Weifeng Sun, Siyang Liu, Lizhi TANG, Sheng Li, Chi Zhang, Jiaxing WEI, Shengli Lu, Longxing Shi",2018-06-27,2018-09-25,2021-10-26,2021-10-26,https://patents.google.com/patent/US11158708B1/en,https://patentimages.storage.googleapis.com/4b/ea/90/4f7bf830e0978c/US11158708-20211026-D00000.png
US-11177670-B2,Integrated charger and integrated charger process ,"Marathonnorco Aerospace, Inc.","Philip Kersey, Graham Cook, Jason VanDeVelde",2018-05-18,2019-05-17,2021-11-16,2021-11-16,https://patents.google.com/patent/US11177670B2/en,https://patentimages.storage.googleapis.com/be/a3/3f/d67719f648cbb6/US11177670-20211116-D00000.png
US-11515237-B2,Plurality of heat sinks for a semiconductor package ,"Agency For Science, Technology And Research","Gongyue TANG, Kazunori Yamamoto, Xiaowu Zhang",2018-08-08,2019-07-29,2022-11-29,2022-11-29,https://patents.google.com/patent/US11515237B2/en,https://patentimages.storage.googleapis.com/42/a0/6d/210256ea315595/US11515237-20221129-D00000.png
