search URL:,https://patents.google.com/?q=%28%22memristor%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9619596-B2,Floating memristor emulator ,King Fahd University Of Petroleum And Minerals,"Muhammad Taher ABUELMA'ATTI, Zainulabideen Jamal Khalifa",2015-06-23,2015-06-23,2017-04-11,2017-04-11,https://patents.google.com/patent/US9619596B2/en,https://patentimages.storage.googleapis.com/f1/95/38/6c1cddafb42ca7/US09619596-20170411-D00000.png
US-9178153-B2,Memristor structure with a dopant source ,"Hewlett-Packard Development Company, L.P.","Minxian Max Zhang, Jianhua Yang, R. Stanley Williams",2011-07-20,2011-07-20,2015-11-03,2015-11-03,https://patents.google.com/patent/US9178153B2/en,https://patentimages.storage.googleapis.com/69/7d/40/7c997c25b07b9e/US09178153-20151103-D00000.png
US-8605484-B2,Self-repairing memristor and method ,"Hewlett-Packard Development Company, L.P.","Julien Borghetti, Alexandre M Bratkovski, Matthew D Pickett",2009-01-29,2009-01-29,2013-12-10,2013-12-10,https://patents.google.com/patent/US8605484B2/en,https://patentimages.storage.googleapis.com/67/e6/76/8b17898b4bd7cc/US08605484-20131210-D00000.png
US-10621267-B2,Memristor crossbar array for performing a fourier transformation ,Hewlett Packard Enterprise Development Lp,"John Paul Strachan, Miao Hu, R. Stanley Williams, Zhiyong Li",2016-01-28,2016-01-28,2020-04-14,2020-04-14,https://patents.google.com/patent/US10621267B2/en,https://patentimages.storage.googleapis.com/33/e2/19/c1a1f283c69ba5/US10621267-20200414-D00000.png
US-8872246-B1,Memristor using a transition metal nitride insulator ,Sandia Corporation,"James E. Stevens, Matthew Marinella, Andrew John Lohn",2012-01-26,2013-01-25,2014-10-28,2014-10-28,https://patents.google.com/patent/US8872246B1/en,https://patentimages.storage.googleapis.com/09/af/0a/76dcd181518244/US08872246-20141028-D00000.png
US-9715479-B2,Memristor linear modeling method for switched reluctance motor ,China University Of Mining And Technology,"Hao Chen, Yan Liang, Dongsheng Yu",2012-10-22,2013-01-24,2017-07-25,2017-07-25,https://patents.google.com/patent/US9715479B2/en,https://patentimages.storage.googleapis.com/2a/d6/7f/c4207832dd5ebf/US09715479-20170725-D00000.png
US-10392243-B2,Coupled memristor devices to enable feedback control and sensing of micro/nanoelectromechanical actuator and sensors ,"Board Of Regents, The University Of Texas System, National Technology & Engineering Solutions Of Sandia, Llc","Sergio Fabian Almeida Loya, David Zubia, Ernest J. Garcia, Jose Mireles, Jr.",2014-10-02,2015-10-01,2019-08-27,2019-08-27,https://patents.google.com/patent/US10392243B2/en,https://patentimages.storage.googleapis.com/34/11/a9/3bf04d3d0d493e/US10392243-20190827-D00000.png
US-10903420-B2,Lithium-compound based solid state memristor device for neuromorphic computing ,International Business Machines Corporation,"Yun Seog Lee, Devendra K. Sadana, Joel P. de Souza",2019-04-16,2019-04-16,2021-01-26,2021-01-26,https://patents.google.com/patent/US10903420B2/en,https://patentimages.storage.googleapis.com/ae/df/64/781f62bf3376cd/US10903420-20210126-D00000.png
US-10366326-B2,Unit having an artificial neuron and a memristor ,"Universite de Bordeaux, Institut Polytechnique De Bordeaux, Centre Natíonal de La Recherche Scientifique (CNRS)","Sylvain SAÏGHI, Jean TOMAS, Gwendal LECERF",2013-03-05,2014-03-05,2019-07-30,2019-07-30,https://patents.google.com/patent/US10366326B2/en,https://patentimages.storage.googleapis.com/70/1a/9f/32ecf63235e95a/US10366326-20190730-D00000.png
US-10032510-B2,Multimodal memristor memory ,Hewlett Packard Enterprise Development Lp,"David B. Fujii, Yoocharn Jeon, Siamak Tavallaei",2014-04-28,2014-04-28,2018-07-24,2018-07-24,https://patents.google.com/patent/US10032510B2/en,https://patentimages.storage.googleapis.com/ea/13/78/392b27eef2e91c/US10032510-20180724-D00000.png
US-11736305-B2,Fast cryptographic key generation from memristor-based physical unclonable computed functions ,Arizona Board Of Regents On Behalf Of Northern Arizona University,Bertrand F CAMBOU,2020-04-03,2021-04-02,2023-08-22,2023-08-22,https://patents.google.com/patent/US11736305B2/en,https://patentimages.storage.googleapis.com/f9/b2/f2/e76829a1ef218e/US11736305-20230822-D00000.png
US-10684244-B2,Making of organic nanobiomimetic memristor and memcapacitors and its applications in dual sensing of a biomarker in neurodegenerative diseases thereto ,Ellen T Chen,Ellen T Chen,2015-10-21,2017-08-31,2020-06-16,2020-06-16,https://patents.google.com/patent/US10684244B2/en,https://patentimages.storage.googleapis.com/02/e0/61/b65da63722fc70/US10684244-20200616-D00000.png
US-11393527-B2,Stochastic memristor logic devices ,King Abdullah University Of Science And Technology,"Rawan Naous, Khaled Nabil Salama",2017-04-20,2020-07-07,2022-07-19,2022-07-19,https://patents.google.com/patent/US11393527B2/en,https://patentimages.storage.googleapis.com/6b/b7/73/09340f642114c8/US11393527-20220719-D00000.png
US-9905757-B2,Nonlinear memristor devices with three-layer selectors ,Hewlett Packard Enterprise Development Lp,"Byungjoon Choi, Jianhua Yang, R. Stanley Williams, Gary Gibson, Warren Jackson",2013-11-12,2013-11-12,2018-02-27,2018-02-27,https://patents.google.com/patent/US9905757B2/en,https://patentimages.storage.googleapis.com/d4/50/4f/2161a25ddd5eee/US09905757-20180227-D00000.png
US-9847129-B2,Memristor programming error reduction ,Hewlett Packard Enterprise Development Lp,Brent Buchanan,2014-07-28,2014-07-28,2017-12-19,2017-12-19,https://patents.google.com/patent/US9847129B2/en,https://patentimages.storage.googleapis.com/d6/81/ef/5a6ff123e4a234/US09847129-20171219-D00000.png
US-11238928-B2,Read-write circuit and read-write method of memristor ,Huazhong University Of Science And Technology,"Xingsheng Wang, Enming HUANG, Xiangshui Miao",2019-09-17,2019-11-12,2022-02-01,2022-02-01,https://patents.google.com/patent/US11238928B2/en,https://patentimages.storage.googleapis.com/fb/18/22/8407865f164f30/US11238928-20220201-D00000.png
US-9405614-B2,Method and system for reducing write-buffer capacities within memristor-based data-storage devices ,Hewlett Packard Enterprise Development Lp,"Erik Ordentlich, Gadiel Seroussi",2011-07-27,2011-07-27,2016-08-02,2016-08-02,https://patents.google.com/patent/US9405614B2/en,https://patentimages.storage.googleapis.com/43/8c/b5/5ea4e636f62bfa/US09405614-20160802-D00000.png
US-10026476-B2,Bi-polar memristor ,"Hewlett-Packard Development Company, L.P.","Leong Yap CHIA, Ning Ge, Wai Mun Wong",2014-11-25,2014-11-25,2018-07-17,2018-07-17,https://patents.google.com/patent/US10026476B2/en,https://patentimages.storage.googleapis.com/62/e8/41/fe206a18b36f1c/US10026476-20180717-D00000.png
US-11449754-B1,Neural network training method for memristor memory for memristor errors ,Zhejiang University,"Cheng Zhuo, Xunzhao YIN, Qingrong Huang, Di Gao",2021-09-12,2022-02-16,2022-09-20,2022-09-20,https://patents.google.com/patent/US11449754B1/en,https://patentimages.storage.googleapis.com/c3/d3/94/78920ecf863033/US11449754-20220920-D00000.png
US-9514817-B1,Non-volatile memory device with memristor ,"Ningbo Advanced Memory Technology Corporation, Being Advanced Memory Taiwan Limited","Jia-Hwang Chang, Jui-Jen Wu, Sheng-Tsai Huang, Fan-yi Jien",2015-07-14,2016-01-28,2016-12-06,2016-12-06,https://patents.google.com/patent/US9514817B1/en,https://patentimages.storage.googleapis.com/bc/c5/e4/b215b4da1a48c1/US09514817-20161206-D00000.png
US-10608639-B2,Memristor-based dividers using memristors-as-drivers (MAD) gates ,"Board Of Regents, The University Of Texas System","Earl Swartzlander, Lauren Guckert",2017-09-08,2019-09-04,2020-03-31,2020-03-31,https://patents.google.com/patent/US10608639B2/en,https://patentimages.storage.googleapis.com/46/24/12/e4a929e5c19db5/US10608639-20200331-D00000.png
