search URL:,https://patents.google.com/?q=%28%22vector+field%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10555680-B2,Representation and identification of activity patterns during electro-physiology mapping using vector fields ,Boston Scientific Scimed Inc.,"Pramodsingh H. Thakur, Shibaji Shome, Shantha Arcot-Krishnamurthy, Allan C. Shuros, Barun Maskara, Sunipa Saha",2013-05-14,2018-02-06,2020-02-11,2020-02-11,https://patents.google.com/patent/US10555680B2/en,https://patentimages.storage.googleapis.com/2d/96/89/b5dc0acb1e7b85/US10555680-20200211-D00000.png
US-10101998-B2,Vector checksum instruction ,International Business Machines Corporation,"Jonathan D. Bradbury, Eric M. Schwarz",2013-01-23,2017-05-25,2018-10-16,2018-10-16,https://patents.google.com/patent/US10101998B2/en,https://patentimages.storage.googleapis.com/67/35/1c/c6052fef12920f/US10101998-20181016-D00000.png
US-9541610-B2,Apparatus and method for recovery of three dimensional magnetic field from a magnetic detection system ,Lockheed Martin Corporation,"Peter G. Kaup, Arul Manickam",2015-02-04,2016-01-21,2017-01-10,2017-01-10,https://patents.google.com/patent/US9541610B2/en,https://patentimages.storage.googleapis.com/45/86/38/b2a9b3ec075a94/US09541610-20170110-D00000.png
US-10042038-B1,Mobile devices and methods employing acoustic vector sensors ,Digimarc Corporation,John D. Lord,2015-09-01,2016-09-01,2018-08-07,2018-08-07,https://patents.google.com/patent/US10042038B1/en,https://patentimages.storage.googleapis.com/63/2e/57/e76f4d4cdf1468/US10042038-20180807-D00000.png
US-10863193-B2,Buffer restriction during motion vector prediction for video coding ,Qualcomm Incorporated,"Yung-Hsuan Chao, Wei-Jung Chien, Marta Karczewicz",2018-06-29,2019-06-27,2020-12-08,2020-12-08,https://patents.google.com/patent/US10863193B2/en,https://patentimages.storage.googleapis.com/6b/8f/bf/f268e59ee86ae2/US10863193-20201208-D00000.png
US-10452555-B2,"No-locality hint vector memory access processors, methods, systems, and instructions ",Intel Corporation,Christopher J. Hughes,2014-07-18,2018-03-30,2019-10-22,2019-10-22,https://patents.google.com/patent/US10452555B2/en,https://patentimages.storage.googleapis.com/fd/4d/5a/b13c47fec12485/US10452555-20191022-D00000.png
US-11082687-B2,Motion vector prediction for affine motion models in video coding ,Qualcomm Incorporated,"Yi-Wen Chen, Wei-Jung Chien, Li Zhang, Yu-Chen Sun, Jianle Chen, Marta Karczewicz",2016-10-05,2019-10-14,2021-08-03,2021-08-03,https://patents.google.com/patent/US11082687B2/en,https://patentimages.storage.googleapis.com/19/c3/1a/d969488ec9f997/US11082687-20210803-D00000.png
US-11653020-B2,Fast algorithms for adaptive motion vector resolution in affine mode ,"Beijing Bytedance Network Technology Co., Ltd, Bytedance Inc.","Hongbin Liu, Li Zhang, Kai Zhang, Yue Wang",2018-09-19,2021-03-17,2023-05-16,2023-05-16,https://patents.google.com/patent/US11653020B2/en,https://patentimages.storage.googleapis.com/24/96/94/ce6a45e3858978/US11653020-20230516-D00000.png
US-11363288-B2,Motion vector generation for affine motion model for video coding ,Qualcomm Incorporated,"Yi-Wen Chen, Wei-Jung Chien, Jianle Chen, Marta Karczewicz",2016-12-29,2020-03-13,2022-06-14,2022-06-14,https://patents.google.com/patent/US11363288B2/en,https://patentimages.storage.googleapis.com/62/fe/e2/7a1ae7f4999335/US11363288-20220614-D00000.png
US-11202077-B2,Motion vector prediction method and device ,"Huawei Technologies Co., Ltd.","Jue Mao, Lu Yu, Yin Zhao",2017-06-13,2019-12-12,2021-12-14,2021-12-14,https://patents.google.com/patent/US11202077B2/en,https://patentimages.storage.googleapis.com/26/bd/88/6e52e30cfae2fc/US11202077-20211214-D00000.png
